Country,Power_Index_Rank,Power_Index_Score,Total_Population_By_Country,Available_Military_Manpower,Manpower_Fit_For_Military_Service,Manpower_Reaching_Military_Age_Annually,Active_Military_Manpower,Active_Reserve_Military_Manpower,Manpower_Paramilitary,Capital City,Region,Continent,Alliance,Year,Aircraft_Total,Aircraft_Total_Fighters,Aircraft_Total_Attack_Types,Aircraft_Total_Transports,Aircraft_Total_Trainers,Aircraft_Total_Special_Mission,Aircraft_Total_Tanker_Fleet,Aircraft_Helicopters_Total,Aircraft_Helicopters_Attack,Armor_Tanks_Total,Armor_Apc_Total,Armor_Self_Propelled_Guns_Total,Armor_Towed_Artillery_Total,Armor_Mlrs_Total,Naval_Assets,Navy_Force_By_Tonnage,Navy_Aircraft_Carriers,Navy_Helo_Carriers,Navy_Submarines,Navy_Destroyers,Navy_Frigates,Navy_Corvettes,Navy_Patrol_Coastal_Craft,Navy_Mine_Warfare_Craft,Defense_Spending_Budget,External_Debt_By_Country,Purchasing_Power_Parity,Reserves_Of_Foreign_Exchange_And_Gold,Major_Serviceable_Airports_By_Country,Labor_Force_By_Country,Major_Ports_And_Terminals,Railway_Coverage,Roadway_Coverage,Oil_Production_By_Country,Oil_Consumption_By_Country,Proven_Oil_Reserves_By_Country,Natural_Gas_Production_By_Country,Natural_Gas_Consumption_By_Country,Proven_Natural_Gas_Reserves_By_Country,Coal_Production_By_Country,Coal_Consumption_By_Country,Proven_Coal_Reserves_By_Country,Square_Land_Area,Coastline_Coverage,Border_Coverage,Waterway_Coverage,Country_Encoded,Assets_Per_Capita,Defense_Budget_to_GDP_Ratio,Total_Personnel,Personnel_Density,Defense_Budget_Per_Soldier,Power_Index_Rank_Gap,Air_Power_Ratio,Armor_Intensity_Index,Naval_Strength_Per_Coastline,Military_Burden_Index,Total_Military_Assets
United States,1,0.0744,341963408,150463900,124816644,4445524,1328000,799500,0,"Washington, D.C.",North America,North America,NATO,2025,13043,1790,889,918,2647,647,605,5843,1002,4640,391963,671,1212,641,440,4168037,11,9,70,81,0,26,0,8,8.95E+11,2.23035E+13,2.4662E+13,7.73426E+11,15873,170549000,666,293564,6586610,20879000,20245000,38212000000,1.029E+12,9.14301E+11,1.3402E+13,548849000,476044000,2.48941E+11,9833517,19924,12002,41009,137,5.30E-05,0.03629065,2127500,0.006221426,673945.7831,0,0.009821536,0.000471856,0.022083919,2617.239094,18123
Russia,2,0.0788,140820810,69002197,46189226,1267387,1320000,2000000,250000,Moscow,Eastern Europe / Northern Asia,Europe,Others,2025,4292,833,689,456,611,141,19,1651,557,5750,131527,5168,8505,3005,419,1260447,1,0,63,10,12,83,123,47,1.26E+11,3.17651E+11,5.816E+12,5.97217E+11,904,72408000,67,85494,1283387,10727000,3684000,80000000000,6.1783E+11,4.72239E+11,4.7805E+13,508190000,310958000,1.62166E+11,17098242,37653,22407,102000,107,7.43E-05,0.021664374,3320000,0.023576061,95454.54545,1,0.003251515,0.000336292,0.011127931,894.7541205,10461
China,3,0.0788,1415043270,764123366,626864169,19810606,2035000,510000,625000,Beijing,East Asia,Asia,Others,2025,3309,1212,371,289,402,112,10,913,281,6800,144017,3490,1000,2750,754,2857143,3,4,61,50,47,72,150,36,2.6685E+11,1.21846E+12,3.1227E+13,3.45E+12,531,779246000,66,150000,5200000,4984000,15148000,26023000000,2.25341E+11,3.6616E+11,6.654E+12,4827000000,5313000000,1.43197E+11,9596960,14500,22457,27700,28,7.68E-06,0.008545489,2545000,0.001798532,131130.2211,2,0.001626044,0.000708558,0.052,188.5808057,10863
India,4,0.1184,1409128296,662290299,522786598,23955181,1455550,1155000,2527000,New Delhi,South Asia,Asia,Non-NATO,2025,2229,513,130,270,351,74,6,899,80,4201,148594,100,3975,264,293,593603,2,0,18,13,14,18,135,0,75000000000,3.71021E+11,1.3104E+13,6.27793E+11,311,593729000,56,65554,6371847,795000,5049000,4605000000,33170000000,58867000000,1.381E+12,985671000,1200000000,1.11052E+11,3287263,7000,13888,14500,53,4.77E-06,0.005723443,2610550,0.001852599,51526.91422,3,0.00153138,0.001277963,0.041857143,53.22439427,6723
South Korea,5,0.1656,52081799,26040900,21353538,416654,600000,3100000,120000,Seoul,East Asia,Asia,Non-NATO,2025,1592,315,98,41,318,36,4,807,111,2236,58880,3270,4400,426,227,344786,0,2,22,13,17,5,35,14,46300000000,5.0352E+11,2.615E+12,4.2093E+11,89,29611000,15,3979,100428,38000,2452000,0,55127000,59480000000,7079000000,15595000,136413000,326000000,99720,2413,237,1600,117,7.79E-05,0.017705545,3700000,0.071042093,77166.66667,4,0.002653333,0.022422784,0.094073767,888.9861888,4055
United Kingdom,6,0.1785,68459055,31491165,25192932,753050,184860,924000,0,London,Western Europe,Europe,NATO,2025,631,113,31,29,203,28,9,266,37,227,38200,71,126,29,109,394043,2,0,9,6,8,0,26,7,71500540000,9.59375E+12,3.7E+12,1.77915E+11,1043,35275000,185,16390,394428,753000,1397000,2500000000,37758000000,70141000000,1.80661E+11,1891000,8568000,26000000,243610,12429,443,3200,136,1.41E-05,0.01932447,1108860,0.016197419,386782.1054,5,0.003413394,0.000931817,0.008769813,1044.427797,967
France,7,0.1878,68374591,30084820,23794358,752121,200000,26000,150000,Paris,Western Europe,Europe,NATO,2025,976,226,0,119,141,44,16,448,68,215,110932,96,0,9,129,428765,1,3,9,11,11,0,20,17,55000000000,6.9921E+12,3.764E+12,2.40792E+11,689,31825000,66,27860,1053215,80000,1554000,61719000,20132000,37001000000,7787000000,2419000,12985000,160000000,643801,4853,4072,8501,43,1.93E-05,0.014612115,226000,0.003305321,275000,6,0.00488,0.000333954,0.026581496,804.3923802,1320
Japan,8,0.1839,123201945,52976836,42874277,1108818,247150,56000,25000,Tokyo,East Asia,Asia,Non-NATO,2025,1443,217,38,55,401,141,10,596,119,521,31964,149,480,54,159,769882,0,4,24,42,6,0,6,22,57000000000,4.6797E+12,5.761E+12,1.295E+12,279,69349000,163,27311,1218772,8000,3289000,44115000,2220000000,92843000000,20898000000,29141000,216332000,350000000,377915,29751,0,1770,61,1.72E-05,0.009894116,303150,0.002460594,230629.1726,7,0.00583856,0.001378617,0.005344358,462.6550336,2123
Turkiye,9,0.1902,84119531,42985080,36087279,1430032,355200,378700,150000,Ankara,Middle East,Asia,NATO,2025,1083,201,0,84,287,28,7,508,111,2238,61173,1038,1707,296,182,325729,0,1,13,0,17,9,41,11,47000000000,2.94441E+11,2.936E+12,1.40858E+11,115,35071000,54,11497,67333,83000,1077000,366000000,379701000,2887000000,3794000000,88746000,123976000,11525000000,783562,7200,2816,1200,131,4.16E-05,0.016008174,733900,0.00872449,132319.8198,8,0.003048986,0.002856188,0.025277778,558.7287452,3503
Italy,10,0.2164,60964931,27434219,22191235,548684,165500,18500,105000,Rome,Southern Europe,Europe,NATO,2025,729,89,67,30,162,23,8,392,37,200,73480,64,108,21,196,359417,2,0,8,3,10,0,19,10,30890000000,2.75E+12,3.097E+12,2.47396E+11,636,25669000,123,18475,487700,116000,1246000,497934000,3117000000,68735000000,45750000000,1618000,13127000,609999000,301340,7600,1836,2400,59,1.85E-05,0.009974169,184000,0.003018129,186646.5257,9,0.004404834,0.000663702,0.025789474,506.6847365,1125
